FECHA_INGRESO,Casos
2022-01-01,35
2022-01-02,56
2022-01-03,108
2022-01-04,168
2022-01-05,186
2022-01-06,222
2022-01-07,241
2022-01-08,238
2022-01-09,260
2022-01-10,351
2022-01-11,353
2022-01-12,426
2022-01-13,460
2022-01-14,474
2022-01-15,478
2022-01-16,470
2022-01-17,622
2022-01-18,630
2022-01-19,621
2022-01-20,676
2022-01-21,675
2022-01-22,569
2022-01-23,660
2022-01-24,775
2022-01-25,788
2022-01-26,773
2022-01-27,703
2022-01-28,681
2022-01-29,637
2022-01-30,618
2022-01-31,741
2022-02-01,667
2022-02-02,678
2022-02-03,581
2022-02-04,507
2022-02-05,437
2022-02-06,429
2022-02-07,403
2022-02-08,480
2022-02-09,421
2022-02-10,449
2022-02-11,394
2022-02-12,303
2022-02-13,293
2022-02-14,331
2022-02-15,284
2022-02-16,297
2022-02-17,288
2022-02-18,209
2022-02-19,164
2022-02-20,213
2022-02-21,235
2022-02-22,191
2022-02-23,194
2022-02-24,142
2022-02-25,158
2022-02-26,127
2022-02-27,129
2022-02-28,171
2022-03-01,131
2022-03-02,129
2022-03-03,140
2022-03-04,113
2022-03-05,85
2022-03-06,101
2022-03-07,124
2022-03-08,123
2022-03-09,79
2022-03-10,110
2022-03-11,68
2022-03-12,66
2022-03-13,84
2022-03-14,83
2022-03-15,78
2022-03-16,77
2022-03-17,83
2022-03-18,70
2022-03-19,77
2022-03-20,53
2022-03-21,67
2022-03-22,76
2022-03-23,74
2022-03-24,67
2022-03-25,67
2022-03-26,41
2022-03-27,73
2022-03-28,56
2022-03-29,73
2022-03-30,69
2022-03-31,54
2022-04-01,62
2022-04-02,61
2022-04-03,44
2022-04-04,60
2022-04-05,58
2022-04-06,55
2022-04-07,55
2022-04-08,53
2022-04-09,35
2022-04-10,47
2022-04-11,57
2022-04-12,41
2022-04-13,51
2022-04-14,53
2022-04-15,24
2022-04-16,31
2022-04-17,37
2022-04-18,55
2022-04-19,58
2022-04-20,54
2022-04-21,35
2022-04-22,52
2022-04-23,38
2022-04-24,42
2022-04-25,58
2022-04-26,49
2022-04-27,41
2022-04-28,39
2022-04-29,31
2022-04-30,27
2022-05-01,19
2022-05-02,38
2022-05-03,47
2022-05-04,40
2022-05-05,42
2022-05-06,29
2022-05-07,29
2022-05-08,29
2022-05-09,26
2022-05-10,20
2022-05-11,29
2022-05-12,41
2022-05-13,30
2022-05-14,29
2022-05-15,26
2022-05-16,35
2022-05-17,39
2022-05-18,46
2022-05-19,38
2022-05-20,48
2022-05-21,32
2022-05-22,36
2022-05-23,47
2022-05-24,36
2022-05-25,40
2022-05-26,48
2022-05-27,35
2022-05-28,23
2022-05-29,38
2022-05-30,28
2022-05-31,40
2022-06-01,28
2022-06-02,42
2022-06-03,40
2022-06-04,32
2022-06-05,35
2022-06-06,45
2022-06-07,39
2022-06-08,41
2022-06-09,46
2022-06-10,41
2022-06-11,35
2022-06-12,42
2022-06-13,59
2022-06-14,49
2022-06-15,63
2022-06-16,58
2022-06-17,45
2022-06-18,39
2022-06-19,45
2022-06-20,52
2022-06-21,57
2022-06-22,60
2022-06-23,75
2022-06-24,71
2022-06-25,46
2022-06-26,66
2022-06-27,81
2022-06-28,83
2022-06-29,77
2022-06-30,85
2022-07-01,112
2022-07-02,71
2022-07-03,71
2022-07-04,106
2022-07-05,114
2022-07-06,96
2022-07-07,115
2022-07-08,124
2022-07-09,96
2022-07-10,94
2022-07-11,149
2022-07-12,143
2022-07-13,143
2022-07-14,117
2022-07-15,129
2022-07-16,105
2022-07-17,128
2022-07-18,134
2022-07-19,139
2022-07-20,153
2022-07-21,143
2022-07-22,131
2022-07-23,112
2022-07-24,103
2022-07-25,160
2022-07-26,117
2022-07-27,144
2022-07-28,113
2022-07-29,121
2022-07-30,84
2022-07-31,81
2022-08-01,111
2022-08-02,115
2022-08-03,107
2022-08-04,93
2022-08-05,81
2022-08-06,63
2022-08-07,59
2022-08-08,88
2022-08-09,64
2022-08-10,76
2022-08-11,65
2022-08-12,59
2022-08-13,55
2022-08-14,60
2022-08-15,59
2022-08-16,75
2022-08-17,63
2022-08-18,68
2022-08-19,67
2022-08-20,50
2022-08-21,50
2022-08-22,51
2022-08-23,42
2022-08-24,55
2022-08-25,53
2022-08-26,32
2022-08-27,42
2022-08-28,34
2022-08-29,34
2022-08-30,45
2022-08-31,42
2022-09-01,47
2022-09-02,30
2022-09-03,29
2022-09-04,22
2022-09-05,39
2022-09-06,42
2022-09-07,38
2022-09-08,21
2022-09-09,27
2022-09-10,21
2022-09-11,11
2022-09-12,28
2022-09-13,21
2022-09-14,21
2022-09-15,15
2022-09-16,15
2022-09-17,17
2022-09-18,11
2022-09-19,18
2022-09-20,24
2022-09-21,18
2022-09-22,20
2022-09-23,18
2022-09-24,17
2022-09-25,16
2022-09-26,26
2022-09-27,30
2022-09-28,13
2022-09-29,12
2022-09-30,22
2022-10-01,13
2022-10-02,10
2022-10-03,17
2022-10-04,11
2022-10-05,11
2022-10-06,8
2022-10-07,2
2022-10-08,3
2022-10-09,2
2022-10-10,1
